listingPrice,listingType,marketStatus,conservationStatus,energyEfficiencyLevel,constructionYear,localZone,garage,garageSpots,floorAsNumber,elevator,totalRooms,numberOfBedrooms,numberOfBathrooms,totalArea,livingArea
545000.0,Apartamento,Novo para o Mercado,Novo,NC,2024.0,Linda A Velha,False,2,3.0,True,3.0,2.0,3.0,138.0,102.0
605000.0,Apartamento,Novo para o Mercado,Novo,NC,2024.0,Linda A Velha,False,2,7.0,True,3.0,2.0,3.0,138.0,102.0
352000.0,Apartamento,Novo para o Mercado,,E,1987.0,Oeiras,False,0,1.0,False,4.0,3.0,2.0,97.0,97.0
350000.0,Apartamento,Novo para o Mercado,Usado,D,1977.0,Linda A Velha,False,0,3.0,True,4.0,3.0,2.0,114.0,117.0
395000.0,Apartamento,Novo para o Mercado,Bom estado,C,1981.0,Oeiras,False,0,3.0,True,4.0,3.0,2.0,107.0,104.0
810000.0,Apartamento,Novo para o Mercado,,E,1986.0,Oeiras,False,1,8.0,True,,3.0,3.0,138.0,139.0
6500000.0,Moradia,Novo para o Mercado,Novo,A,2023.0,Cruz Quebrada-Dafundo,True,3,,True,9.0,6.0,8.0,586.0,586.0
399900.0,Apartamento,Novo para o Mercado,Usado,C,2005.0,Caxias,False,1,0.0,True,3.0,2.0,1.0,102.0,99.0
377000.0,Apartamento,Novo para o Mercado,,C,2006.0,Barcarena,False,2,4.0,True,,2.0,2.0,119.0,119.0
1775000.0,Apartamento,Novo para o Mercado,Novo,A,2024.0,Cruz Quebrada-Dafundo,False,3,3.0,True,5.0,4.0,5.0,189.0,170.0
429000.0,Apartamento,Novo para o Mercado,,C,2000.0,Queijas,True,1,2.0,True,4.0,3.0,2.0,132.0,105.0
2450000.0,Moradia,Novo para o Mercado,,F,1967.0,Caxias,True,3,,,,6.0,3.0,246.0,196.0
1300000.0,Moradia,Novo para o Mercado,,B-,2008.0,Barcarena,False,3,,,9.0,6.0,7.0,271.0,245.0
745000.0,Duplex,Novo para o Mercado,,C,2003.0,Linda A Velha,False,1,7.0,True,,4.0,3.0,197.0,197.0
